# Fitnes,Na_BG_act_inact_shift 0,gmax_K_DRS4_params_voltage_dep_dend 1,gmax_Na_BG_soma 2,gmax_K_DRS4_params_voltage_dep_soma 3,gmax_K_DRS4_params_voltage_dep_axon 4,gmax_Leak_pyr 5,H_ratio 6,e_Leak_pyr 7,gbar_km_soma_dend 8,gbar_km_axon 9,KA_ratio 10,gbar_kd 11,pbar_CaN 12,gmax_bk 13,CaL_ratio 14,gmax_K_AHP 15,cat_ratio 16,cat31_33_ratio 17,gk_SK 18,pbar_car 19
3.913517672165813366e+00,9.149978855986972803e+00,4.809685486837284724e-02,1.064900932581142878e-01,3.666598815599824701e-01,6.614750433877708558e-01,4.734993728785347449e-06,9.571270964110068391e+00,-5.107886037624984965e+01,1.000885467659567880e-05,6.610894392067613590e-03,1.002803994831422463e+00,1.927296152650258537e-03,6.453596566173070478e-04,9.415449917457718865e-02,7.267818981827229852e-01,4.673077520548734172e-05,8.423648917280955883e-01,2.421297971767178314e+00,4.001244957305101014e-04,2.882867073789262789e-04
3.971638673335398995e+00,9.274468521723818526e+00,2.079995752859498670e-01,1.261463332476671917e-01,3.229085087486000677e-02,7.893083427976668176e-01,4.259527006280597840e-06,7.877941064073707977e+00,-5.000000000000000000e+01,1.558795517428337562e-05,7.547918066786946448e-03,1.021694743013538131e+00,1.404432125245787429e-03,5.398581634854619782e-03,9.060095440936512257e-02,1.354956938665786481e+00,3.991993840372851787e-05,1.838562097114427640e+00,9.706355604796084169e-01,4.043809387376467264e-04,2.099671378272195037e-04
4.220004710310150564e+00,5.288258486497881883e+00,2.734676398073684345e-01,3.128081274060548478e-02,3.461786767512199936e-01,8.766205869691976460e-01,3.419389606111984130e-06,7.901248149740517590e+00,-5.386544144971053782e+01,1.045130933086431407e-05,2.269951764656251165e-03,1.012817685577773963e+00,5.300245268794690802e-03,7.268589011678145209e-03,3.905838587131593015e-02,1.007338059630320082e+00,3.210546533716819866e-04,5.187622208756423881e-01,3.297050433266058622e+00,4.000000000000000192e-04,2.070481287871377336e-04
3.973064085225690434e+00,9.240343947606223907e+00,2.160376760591688206e-01,6.254839319946947640e-02,2.932349180655965948e-01,9.666968144947738484e-01,1.128483938923866719e-06,7.323382286356340032e+00,-5.492780523044544339e+01,1.524493340831165010e-05,4.334437569958582079e-03,1.017111176484239099e+00,4.952394656228754216e-03,2.589223834363182149e-03,7.611187561564548842e-02,4.616934859256039969e-01,6.095401067778604066e-05,1.332646832115539137e+00,2.133007933905487263e+00,4.003388341030989558e-04,2.268761127035624802e-04
4.186600031522985432e+00,7.014044357073855096e+00,6.399393705623883377e-02,4.486607420206618901e-02,2.951212967890428085e-01,9.073378254978766710e-01,3.278489320404268754e-06,9.172020945746888643e+00,-5.422634205583936762e+01,4.710855628957765195e-05,2.747918048340047045e-03,1.001134569279909625e+00,6.052353439017191424e-03,5.872865909927658078e-03,5.856980393231542292e-02,1.685097312508748280e+00,1.108442401295353165e-05,1.284586828310588569e+00,1.691047218700370891e+00,4.000000000000000192e-04,1.509705820247153423e-04
4.418004566487756968e+00,7.921642090468895780e+00,1.738703872313256127e-01,3.582176101742912122e-02,6.162075172284477154e-02,5.562101956224924093e-01,5.338126018341856480e-06,7.912694978245843558e+00,-5.550441721333778844e+01,2.967963300997350447e-05,2.221707597893177958e-03,1.275356421672419582e+00,4.771365117801309140e-03,1.000000000000000021e-02,9.319719115712112034e-02,1.601570781644977792e+00,1.629783343760893277e-04,1.242567497889029760e+00,1.461725693799776238e+00,4.687731623155534330e-04,3.738774541650315901e-04
4.066405445115179873e+00,5.502333884674909470e+00,1.675051109467160515e-01,5.333850218613379879e-02,4.460606828933603718e-01,7.941180974710336793e-01,4.705648262533017765e-06,8.755983638800831415e+00,-5.110998684067001108e+01,1.021338330386932221e-05,3.622036697022919770e-03,1.000000000000000000e+00,4.893190731767379717e-03,7.610064451466400440e-03,8.368624668504039132e-02,1.993925165418395817e+00,1.664083084814255132e-04,1.549995997595543296e+00,9.371437744744797183e-01,4.019254977648821264e-04,1.915085940581682004e-04
4.363619737929485431e+00,4.883681405040568357e+00,2.999828982878768868e-01,2.498044403318919540e-02,2.066859396254853987e-01,1.000000000000000000e+00,2.167524548853396391e-06,8.331713469958838658e+00,-5.157362712512447445e+01,1.072537173700470031e-05,2.078438546720334529e-03,1.043101570227709107e+00,3.597155403400413651e-03,8.017014798001051781e-03,5.523876637632494507e-02,8.714794177726973290e-01,2.853345090906849618e-04,1.157402608179372461e+00,1.842867886595711324e+00,4.000046738508742706e-04,7.288202406138362063e-05
4.261258206521338465e+00,1.617143965832931851e+00,1.011709872069791044e-01,7.714531385043833789e-02,4.209310529996980188e-01,6.506176238955800883e-01,4.665334793927095709e-06,9.341772571274255199e+00,-5.223974652917441830e+01,1.085557459406115222e-05,5.028611637978351243e-03,1.016817707952675676e+00,1.498982103944625091e-03,7.444726146538652341e-03,9.307315733405384373e-02,1.000000000000000056e-01,1.756826567855657422e-04,1.527120031715838433e+00,1.388173165964390776e+00,4.009230493246618374e-04,2.303071239580391889e-04
3.831105567706972526e+00,8.026480726644470209e+00,2.135185507254375864e-02,9.283958640480721725e-02,4.275001167199071195e-01,5.812477895870338251e-01,3.495701762651791516e-06,8.068742234784462397e+00,-5.412198194616986058e+01,1.667092613364508309e-05,5.650561983639747904e-03,1.000067201255423255e+00,8.214180327862060163e-03,1.485582763289450573e-03,8.991547843914089733e-02,7.166577310234786280e-01,1.724453146328881769e-04,1.699913919602920265e+00,1.405352699195336452e+00,4.125207713915946851e-04,2.153048861165400454e-04
