# Fitnes,Na_inact 0,gmax_K_DRS4_params_voltage_dep_dend 1,gmax_Na_BG_soma 2,gmax_K_DRS4_params_voltage_dep_soma 3,gmax_KD_axon 4,gmax_Leak_pyr 5,H_ratio 6,e_Leak_pyr 7,gbar_km_soma_dend 8,KA_ratio 9,gbar_kd 10,pbar_CaN 11,gmax_bk 12,CaL_ratio 13,gmax_K_AHP 14,cat_ratio 15,gk_SK 16,pbar_car 17,Na_act 18,KA_kinetic_shift 19,KA_slope 20
0.000000000000000000e+00,-4.562129913381897950e+01,1.540959970209887508e-02,1.693464197432560381e-01,1.024974197232259993e-01,1.715443774845716932e-02,3.186132641811300870e-06,5.652767116654946467e-01,-5.223667802503072721e+01,1.108260862260238922e-04,2.529445445372157319e+00,5.504949038343945941e-04,4.872936344012497763e-03,8.360930584022764622e-02,4.477777340775202397e+00,2.776305800430784658e-04,1.906247022544642622e+00,3.090885414637564737e-05,1.091609017346827917e-04,-2.585010854227279964e+01,8.658052647964135318e+00,9.947499004076359341e+00
0.000000000000000000e+00,-4.604089724025446628e+01,6.201638265920286427e-03,1.664309394125596253e-01,1.201536027962379488e-01,1.855024051919541839e-02,3.050877532413193796e-06,5.778286617503535227e-01,-5.296672425021547781e+01,1.085784353439787377e-04,2.258299366603800706e+00,4.807037673903973431e-04,7.624772037544106859e-03,8.243437074055884328e-02,3.945412213833155768e+00,3.270256222695574902e-04,3.753661420335344889e+00,3.310974041408121970e-05,5.604643213775526551e-05,-2.599234447253930824e+01,7.932860925121936191e+00,9.651211379950145997e+00
0.000000000000000000e+00,-4.744867095267444768e+01,1.110918775133530254e-02,1.794770896087662104e-01,9.430168827952865873e-02,1.687426159838596035e-02,2.879011739861799489e-06,5.638693408423256503e-01,-4.559460440980667784e+01,1.009035859223110011e-04,3.240730801382150972e+00,2.112255280433515822e-04,5.950463626715401383e-03,8.554225745832286232e-02,4.365023991527041680e+00,4.336132049104810633e-04,2.962262445379955977e+00,8.001383301793550912e-05,6.180586902317069720e-06,-2.561354288150771907e+01,1.325588582235251245e+01,1.009621868161787184e+01
0.000000000000000000e+00,-4.578665331763355084e+01,6.522220083671662928e-03,1.655125678869767969e-01,1.159621629562472556e-01,1.816652101129911587e-02,3.595668795682879794e-06,5.731251075726675470e-01,-5.577711097242416827e+01,1.101289349390079808e-04,2.338209723484060643e+00,5.132650153760667930e-04,7.079956838026049692e-03,8.523082752272811979e-02,4.282244864269837414e+00,3.040210255690275489e-04,3.501714968358538016e+00,2.041032832971223339e-05,6.908766164197318173e-05,-2.605551336145834540e+01,8.240243923944442273e+00,9.964200579953240933e+00
0.000000000000000000e+00,-4.756754339778245821e+01,3.456924694453628391e-03,1.763761994153426882e-01,1.138441621979105478e-01,1.805754247905963505e-02,2.570954092970174541e-06,5.651570002919209523e-01,-4.406381649957720015e+01,1.063000675006703182e-04,2.155091951747457379e+00,3.277796836167514707e-04,6.404906020744647460e-03,8.311770940568882771e-02,3.529578527666846544e+00,1.961730927975511175e-04,2.321838524046095031e+00,6.755879668492603023e-05,1.427860062155549649e-05,-2.585669374675301668e+01,8.698332334605849425e+00,9.450976236739242253e+00
0.000000000000000000e+00,-4.741373018487568203e+01,8.254620649759174256e-03,1.990210857909910647e-01,3.331133101820424325e-02,1.080902054018693069e-02,3.980739602781063627e-06,5.625024134131904052e-01,-5.514968446172642302e+01,1.152335706979789183e-04,4.050572617070593573e+00,6.181114345366373226e-04,3.624544943032838827e-03,7.396905858107695464e-02,3.938334988895221933e+00,3.111142395189169375e-04,2.587868605831994628e+00,3.958234613962227638e-05,5.047202517142652820e-05,-2.461510687332552294e+01,1.053998288165400155e+01,8.860596700416740745e+00
0.000000000000000000e+00,-4.731451672012254051e+01,1.232855400067494472e-02,1.763659214563141064e-01,9.725443755483688391e-02,1.725177134979087243e-02,3.880331262377635284e-06,5.611571766403177230e-01,-5.259840622152782430e+01,1.009503374021940075e-04,2.440170802041241149e+00,1.127254926568480313e-04,6.027941657469130556e-03,8.105832085105876827e-02,3.821961131631258723e+00,3.741349109792468778e-04,1.651630089516989086e+00,6.604035002586476296e-05,1.981645588095668387e-05,-2.564547563889821191e+01,9.509148681749003629e+00,9.494355706082822977e+00
0.000000000000000000e+00,-4.570061506784234950e+01,3.570403096842623969e-03,1.680733553209895759e-01,1.009286818175891970e-01,1.752562084907191564e-02,4.585538195703631257e-06,5.629100538686723221e-01,-5.968928291602767899e+01,1.045454834115182763e-04,2.336778371857648473e+00,2.519193807863983150e-04,3.574673600591661039e-03,8.638069491828595514e-02,4.395065717151832807e+00,2.465051651731947819e-04,4.347864023762801899e+00,1.881879876717133148e-05,6.953485849829400833e-05,-2.583686842067589495e+01,8.470751052424281724e+00,1.013828126032653998e+01
0.000000000000000000e+00,-4.680183513210604218e+01,7.667122428710787529e-03,1.745835157567751095e-01,1.154998133598160170e-01,1.839013652864368922e-02,3.298831769680160698e-06,5.792168041642852261e-01,-5.492442839624784767e+01,1.060034003673184216e-04,2.579504257220231800e+00,4.300017099846203624e-04,2.985333430103456059e-03,8.725467197795291896e-02,4.297442393609946620e+00,9.299007440363276636e-05,4.086861620147421270e+00,3.110920991678847692e-05,4.452245894742353388e-05,-2.585643134981490121e+01,1.081328340491070783e+01,1.012042990297266343e+01
0.000000000000000000e+00,-4.704672736385660414e+01,9.142393231027515221e-03,1.734564459234941014e-01,9.038476927965002905e-02,1.760626754851751102e-02,3.511182794276114526e-06,5.637715311977242738e-01,-5.258392742050847346e+01,1.023862466954727032e-04,2.650293496390263126e+00,1.294140604203214201e-04,7.543670543714950383e-03,8.183910018142451226e-02,3.973911450546731228e+00,4.235595521872249827e-04,2.247546439768557835e+00,5.705436152661178819e-05,7.919253391997900258e-06,-2.577133920358793873e+01,1.055752068449404391e+01,9.817720235162608944e+00
